weight_class,rk,fighter,fighterID,record,KO_TKO,age,height,reach,style,SigStrAvg,StrAcc,SLPM,StrDef,TDAvg,TDAcc,TDDef
Men's PFP,1,Islam Makhachev,makhaisl01,15-1-0,3,33,70,70.5,Sambo,28.06,59.55,2.65,61.02,2.25,53.73,90.91
Men's PFP,2,Alex Pereira,pereiale01,9-1-0,7,37,76,79,Kickboxer,58.1,63.08,5.46,55.2,0.1,100,70
Men's PFP,3,Jon Jones,jonesjon01,21-1-0 (1 NC),5,35,76,84.5,Other,63.83,57.89,4.29,64.32,1.91,45.36,95
Men's PFP,4,Ilia Topuria,topurili01,7-0-0,4,27,67,69,Jiu-Jitsu,44.14,46.33,4.4,65.39,1.29,56.25,92.86
Men's PFP,5,Belal Muhammad,muhambel01,15-3-0 (1 NC),2,36,71,72,Other,65.32,43.7,4.39,57.14,2.26,39.09,89.36
Men's PFP,6,Dricus Du Plessis,plessdri01,8-0-0,4,30,73,76,MMA,76.25,49.39,6.18,54.81,2.5,50,50
Men's PFP,7,Merab Dvalishvili,dvalimer01,11-2-0,1,33,66,68,Freestyle,70.08,42.2,4.35,56.59,6.54,36.96,80.77
Men's PFP,8,Tom Aspinall,aspintom01,8-1-0,6,31,77,78,Freestyle,16.44,67.27,8.07,65.36,0.44,100,100
Men's PFP,9,Leon Edwards,edwarleo01,14-3-0 (1 NC),3,33,72,74,MMA,46.56,53.93,2.68,53.95,1.44,36.62,65.81
Men's PFP,10,Alexander Volkanovski,volkaale01,13-3-0,5,36,66,71.5,Other,97.44,56.51,6.16,58.15,1.88,37.97,70
Men's PFP,11,Alexandre Pantoja,pantoale01,12-3-0,2,34,65,67,MMA,57.4,49.74,4.41,50.29,2.27,47.89,68.42
Men's PFP,12,Max Holloway,hollomax01,22-7-0,10,32,71,69,Muay Thai,116.48,48.1,7.17,59.39,0.28,53.33,84.11
Men's PFP,13,Sean O'Malley,omalsea01,10-2-0 (1 NC),6,30,71,72,Other,77.77,61.46,6.71,60.81,0.23,42.86,60.47
